IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.218.85.128,8443,8443,true,LAX,North America,Los Angeles,244,5.38
47.242.42.153,2083,2083,true,SJC,North America,San Jose,231,5.38
47.243.183.127,2053,2053,true,SJC,North America,San Jose,241,5.37
47.76.26.26,2083,2083,true,LAX,North America,Los Angeles,222,5.36
47.76.227.128,2087,2087,true,NRT,Asia Pacific,Tokyo,119,5.36
8.218.146.204,2096,2096,true,LAX,North America,Los Angeles,246,5.35
47.238.35.50,2096,2096,true,NRT,Asia Pacific,Tokyo,92,5.35
47.236.83.239,2087,2087,true,SIN,Asia Pacific,Singapore,107,5.34
8.218.74.119,2083,2083,true,LAX,North America,Los Angeles,214,5.34
47.236.253.41,2083,2083,true,SIN,Asia Pacific,Singapore,64,5.34
8.217.181.213,2087,2087,true,TPE,Asia Pacific,Taipei,109,5.34
8.217.154.218,2083,2083,true,LAX,North America,Los Angeles,221,5.33
8.219.229.190,2087,2087,true,SIN,Asia Pacific,Singapore,10,5.32
8.217.85.14,2096,2096,true,TPE,Asia Pacific,Taipei,59,5.32
8.222.214.231,2087,2087,true,SIN,Asia Pacific,Singapore,35,5.32
47.243.186.171,2087,2087,true,TPE,Asia Pacific,Taipei,99,5.32
47.242.252.237,8443,8443,true,SJC,North America,San Jose,242,5.32
47.243.203.119,2096,2096,true,SJC,North America,San Jose,234,5.30
8.218.142.253,8443,8443,true,LAX,North America,Los Angeles,220,5.30
8.218.181.189,8443,8443,true,SJC,North America,San Jose,266,5.29
47.243.67.28,2083,2083,true,LAX,North America,Los Angeles,246,5.29
8.219.4.122,2096,2096,true,SIN,Asia Pacific,Singapore,67,5.29
8.210.85.222,2053,2053,true,SJC,North America,San Jose,245,5.29
47.236.102.102,2053,2053,true,SIN,Asia Pacific,Singapore,59,5.28
47.237.8.82,8443,8443,true,SIN,Asia Pacific,Singapore,36,5.28
8.219.4.122,2096,2096,true,SIN,Asia Pacific,Singapore,77,5.28
8.219.237.250,2053,2053,true,SIN,Asia Pacific,Singapore,13,5.28
8.210.192.93,2083,2083,true,NRT,Asia Pacific,Tokyo,95,5.27
8.218.18.235,2096,2096,true,TPE,Asia Pacific,Taipei,66,5.27
47.236.172.71,2083,2083,true,SIN,Asia Pacific,Singapore,42,5.27
8.222.244.192,2096,2096,true,SIN,Asia Pacific,Singapore,48,5.27
47.236.80.110,2087,2087,true,SIN,Asia Pacific,Singapore,72,5.27
8.217.85.14,8443,8443,true,TPE,Asia Pacific,Taipei,88,5.26
8.219.194.170,2083,2083,true,SIN,Asia Pacific,Singapore,83,5.26
47.243.186.171,2083,2083,true,TPE,Asia Pacific,Taipei,111,5.26
47.245.114.163,2083,2083,true,SIN,Asia Pacific,Singapore,94,5.25
8.218.181.189,2053,2053,true,SJC,North America,San Jose,256,5.24
47.236.144.156,2053,2053,true,SIN,Asia Pacific,Singapore,62,5.24
8.219.98.13,2053,2053,true,SIN,Asia Pacific,Singapore,94,5.24
8.218.181.189,2053,2053,true,SJC,North America,San Jose,233,5.24
47.243.18.199,2053,2053,true,LAX,North America,Los Angeles,185,5.24
47.236.17.193,2096,2096,true,SIN,Asia Pacific,Singapore,44,5.23
8.219.237.250,443,443,true,SIN,Asia Pacific,Singapore,34,5.23
47.76.233.67,2083,2083,true,TPE,Asia Pacific,Taipei,73,5.23
47.245.105.224,2083,2083,true,SIN,Asia Pacific,Singapore,87,5.21
47.238.35.50,8443,8443,true,NRT,Asia Pacific,Tokyo,102,5.21
8.219.210.64,2083,2083,true,SIN,Asia Pacific,Singapore,48,5.21
8.219.153.237,2096,2096,true,NRT,Asia Pacific,Tokyo,130,5.21
47.243.255.224,8443,8443,true,LAX,North America,Los Angeles,206,5.20
8.217.147.230,2096,2096,true,TPE,Asia Pacific,Taipei,106,5.20
47.76.192.24,2087,2087,true,NRT,Asia Pacific,Tokyo,112,5.20
47.243.255.224,2053,2053,true,SJC,North America,San Jose,267,5.19
47.76.98.98,2087,2087,true,LAX,North America,Los Angeles,193,5.18
47.236.5.223,2053,2053,true,SIN,Asia Pacific,Singapore,38,5.17
8.218.53.110,2083,2083,true,LAX,North America,Los Angeles,198,5.17
8.217.154.218,8443,8443,true,SJC,North America,San Jose,266,5.17
8.222.208.38,2087,2087,true,SIN,Asia Pacific,Singapore,50,5.17
47.242.232.14,8443,8443,true,LAX,North America,Los Angeles,198,5.16
8.218.53.110,2087,2087,true,LAX,North America,Los Angeles,197,5.15
8.219.124.227,2053,2053,true,SIN,Asia Pacific,Singapore,7,5.15
47.236.9.152,2083,2083,true,SIN,Asia Pacific,Singapore,42,5.14
47.242.252.237,2053,2053,true,LAX,North America,Los Angeles,205,5.14
47.236.123.133,2087,2087,true,SIN,Asia Pacific,Singapore,91,5.13
8.219.78.188,8443,8443,true,SIN,Asia Pacific,Singapore,69,5.13
47.236.158.158,8443,8443,true,SIN,Asia Pacific,Singapore,64,5.12
8.217.121.207,2053,2053,true,LAX,North America,Los Angeles,187,5.12
8.219.40.37,8443,8443,true,SIN,Asia Pacific,Singapore,62,5.12
8.219.177.205,2087,2087,true,SIN,Asia Pacific,Singapore,101,5.12
8.210.48.107,2053,2053,true,LAX,North America,Los Angeles,220,5.11
