IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.210.55.134,2053,2053,true,HKG,Asia Pacific,Hong Kong,63,6.05
47.243.107.148,8443,8443,true,HKG,Asia Pacific,Hong Kong,63,6.05
47.236.87.246,8443,8443,true,SIN,Asia Pacific,Singapore,42,6.05
47.243.183.127,2083,2083,true,HKG,Asia Pacific,Hong Kong,136,6.04
8.210.65.1,2087,2087,true,HKG,Asia Pacific,Hong Kong,344,6.04
47.243.139.243,8443,8443,true,HKG,Asia Pacific,Hong Kong,61,6.03
47.245.84.124,2083,2083,true,SIN,Asia Pacific,Singapore,35,6.03
47.243.183.127,2053,2053,true,HKG,Asia Pacific,Hong Kong,41,6.03
47.243.26.83,2087,2087,true,HKG,Asia Pacific,Hong Kong,38,6.02
47.237.94.140,8443,8443,true,SIN,Asia Pacific,Singapore,30,6.02
8.218.3.12,2096,2096,true,HKG,Asia Pacific,Hong Kong,70,6.02
47.76.146.1,2087,2087,true,HKG,Asia Pacific,Hong Kong,39,6.02
8.210.89.245,8443,8443,true,HKG,Asia Pacific,Hong Kong,66,6.01
47.242.176.237,2096,2096,true,HKG,Asia Pacific,Hong Kong,48,6.01
47.236.130.95,2053,2053,true,SIN,Asia Pacific,Singapore,61,6.01
47.242.54.157,2087,2087,true,HKG,Asia Pacific,Hong Kong,69,6.01
47.243.74.220,2087,2087,true,HKG,Asia Pacific,Hong Kong,87,6.00
47.242.176.237,2053,2053,true,HKG,Asia Pacific,Hong Kong,87,5.99
47.238.5.0,2083,2083,true,HKG,Asia Pacific,Hong Kong,136,5.99
8.217.121.207,2083,2083,true,HKG,Asia Pacific,Hong Kong,74,5.99
8.210.245.224,2083,2083,true,HKG,Asia Pacific,Hong Kong,788,5.98
8.210.63.130,8443,8443,true,HKG,Asia Pacific,Hong Kong,44,5.97
47.236.150.13,2083,2083,true,SIN,Asia Pacific,Singapore,70,5.97
8.217.91.121,2053,2053,true,HKG,Asia Pacific,Hong Kong,37,5.96
47.245.114.163,2096,2096,true,SIN,Asia Pacific,Singapore,31,5.95
47.236.17.193,2053,2053,true,SIN,Asia Pacific,Singapore,50,5.95
47.76.227.128,2053,2053,true,HKG,Asia Pacific,Hong Kong,38,5.95
8.218.207.169,2087,2087,true,HKG,Asia Pacific,Hong Kong,357,5.94
8.219.100.168,2096,2096,true,SIN,Asia Pacific,Singapore,62,5.94
47.237.95.13,2087,2087,true,SIN,Asia Pacific,Singapore,37,5.94
47.236.75.152,2053,2053,true,SIN,Asia Pacific,Singapore,43,5.93
8.222.237.131,8443,8443,true,SIN,Asia Pacific,Singapore,46,5.93
8.218.65.171,2053,2053,true,HKG,Asia Pacific,Hong Kong,91,5.93
8.218.18.132,2083,2083,true,HKG,Asia Pacific,Hong Kong,314,5.93
8.222.150.197,2053,2053,true,SIN,Asia Pacific,Singapore,67,5.93
8.219.248.47,8443,8443,true,SIN,Asia Pacific,Singapore,65,5.91
8.219.161.129,2053,2053,true,SIN,Asia Pacific,Singapore,54,5.91
47.243.5.154,2087,2087,true,HKG,Asia Pacific,Hong Kong,70,5.90
47.243.183.127,2087,2087,true,HKG,Asia Pacific,Hong Kong,619,5.90
47.237.125.8,8443,8443,true,SIN,Asia Pacific,Singapore,41,5.90
47.236.93.176,2096,2096,true,SIN,Asia Pacific,Singapore,41,5.90
47.236.166.131,2083,2083,true,SIN,Asia Pacific,Singapore,78,5.90
47.236.17.193,2087,2087,true,SIN,Asia Pacific,Singapore,38,5.88
8.217.159.210,2087,2087,true,HKG,Asia Pacific,Hong Kong,51,5.87
47.243.91.58,2083,2083,true,HKG,Asia Pacific,Hong Kong,56,5.87
47.243.243.14,2096,2096,true,HKG,Asia Pacific,Hong Kong,41,5.85
8.218.65.237,2083,2083,true,HKG,Asia Pacific,Hong Kong,54,5.85
8.218.178.79,2096,2096,true,HKG,Asia Pacific,Hong Kong,64,5.84
47.237.0.31,2083,2083,true,SIN,Asia Pacific,Singapore,34,5.84
8.219.87.30,2096,2096,true,SIN,Asia Pacific,Singapore,36,5.84
8.218.173.78,8443,8443,true,HKG,Asia Pacific,Hong Kong,53,5.84
8.210.85.222,2096,2096,true,HKG,Asia Pacific,Hong Kong,46,5.83
47.236.5.223,2096,2096,true,SIN,Asia Pacific,Singapore,35,5.83
8.217.50.252,2087,2087,true,HKG,Asia Pacific,Hong Kong,45,5.83
8.218.81.14,8443,8443,true,HKG,Asia Pacific,Hong Kong,213,5.82
47.236.123.133,2096,2096,true,SIN,Asia Pacific,Singapore,46,5.82
47.242.54.157,8443,8443,true,HKG,Asia Pacific,Hong Kong,257,5.82
47.236.202.91,2053,2053,true,SIN,Asia Pacific,Singapore,49,5.82
8.217.251.62,8443,8443,true,HKG,Asia Pacific,Hong Kong,550,5.80
8.217.250.222,2083,2083,true,HKG,Asia Pacific,Hong Kong,641,5.80
47.242.17.250,2053,2053,true,HKG,Asia Pacific,Hong Kong,495,5.78
47.236.97.90,2083,2083,true,SIN,Asia Pacific,Singapore,39,5.78
8.217.50.252,2096,2096,true,HKG,Asia Pacific,Hong Kong,40,5.78
8.217.72.0,8443,8443,true,HKG,Asia Pacific,Hong Kong,37,5.78
8.218.98.75,2083,2083,true,HKG,Asia Pacific,Hong Kong,48,5.77
47.245.126.151,2053,2053,true,SIN,Asia Pacific,Singapore,19,5.77
47.236.150.13,8443,8443,true,SIN,Asia Pacific,Singapore,70,5.77
8.219.235.164,2083,2083,true,SIN,Asia Pacific,Singapore,30,5.77
47.237.94.140,8443,8443,true,SIN,Asia Pacific,Singapore,45,5.76
8.222.181.117,2087,2087,true,SIN,Asia Pacific,Singapore,125,5.76
47.243.51.171,2096,2096,true,HKG,Asia Pacific,Hong Kong,38,5.75
47.76.29.115,2083,2083,true,HKG,Asia Pacific,Hong Kong,119,5.73
8.219.42.72,2096,2096,true,SIN,Asia Pacific,Singapore,53,5.72
8.218.11.90,2053,2053,true,HKG,Asia Pacific,Hong Kong,92,5.72
47.243.27.217,2053,2053,true,HKG,Asia Pacific,Hong Kong,90,5.72
8.222.215.228,2087,2087,true,SIN,Asia Pacific,Singapore,122,5.71
47.245.102.52,8443,8443,true,SIN,Asia Pacific,Singapore,56,5.71
47.236.10.182,2083,2083,true,SIN,Asia Pacific,Singapore,53,5.71
8.219.229.190,2096,2096,true,SIN,Asia Pacific,Singapore,54,5.70
47.242.234.127,2087,2087,true,HKG,Asia Pacific,Hong Kong,345,5.70
8.217.91.121,8443,8443,true,HKG,Asia Pacific,Hong Kong,50,5.69
47.243.183.127,2096,2096,true,HKG,Asia Pacific,Hong Kong,415,5.69
47.236.83.239,8443,8443,true,SIN,Asia Pacific,Singapore,91,5.68
47.237.95.156,2083,2083,true,SIN,Asia Pacific,Singapore,50,5.68
47.236.9.152,2083,2083,true,SIN,Asia Pacific,Singapore,34,5.68
8.217.66.3,2053,2053,true,HKG,Asia Pacific,Hong Kong,57,5.68
8.218.65.171,2053,2053,true,HKG,Asia Pacific,Hong Kong,45,5.67
47.243.203.119,2083,2083,true,HKG,Asia Pacific,Hong Kong,159,5.66
8.210.42.171,2087,2087,true,HKG,Asia Pacific,Hong Kong,78,5.65
8.218.204.128,2096,2096,true,HKG,Asia Pacific,Hong Kong,103,5.65
8.217.250.222,2053,2053,true,HKG,Asia Pacific,Hong Kong,322,5.63
8.218.52.115,8443,8443,true,HKG,Asia Pacific,Hong Kong,519,5.63
8.217.207.60,2087,2087,true,HKG,Asia Pacific,Hong Kong,42,5.63
47.76.33.40,2083,2083,true,HKG,Asia Pacific,Hong Kong,48,5.62
47.245.114.163,2087,2087,true,SIN,Asia Pacific,Singapore,34,5.61
47.76.29.115,2053,2053,true,HKG,Asia Pacific,Hong Kong,77,5.61
8.219.11.158,8443,8443,true,SIN,Asia Pacific,Singapore,44,5.61
8.210.203.7,8443,8443,true,HKG,Asia Pacific,Hong Kong,50,5.60
47.243.255.224,2053,2053,true,HKG,Asia Pacific,Hong Kong,64,5.60
47.245.114.163,2053,2053,true,SIN,Asia Pacific,Singapore,48,5.60
47.243.91.58,2096,2096,true,HKG,Asia Pacific,Hong Kong,65,5.60
8.218.136.25,2096,2096,true,HKG,Asia Pacific,Hong Kong,52,5.60
47.237.92.26,2053,2053,true,SIN,Asia Pacific,Singapore,47,5.59
8.217.123.243,2096,2096,true,HKG,Asia Pacific,Hong Kong,60,5.58
8.222.162.45,8443,8443,true,SIN,Asia Pacific,Singapore,81,5.58
8.218.207.169,2096,2096,true,HKG,Asia Pacific,Hong Kong,149,5.57
47.236.123.133,2083,2083,true,SIN,Asia Pacific,Singapore,102,5.57
8.217.232.246,2053,2053,true,HKG,Asia Pacific,Hong Kong,59,5.57
47.238.131.39,2083,2083,true,HKG,Asia Pacific,Hong Kong,83,5.57
8.219.189.143,2053,2053,true,SIN,Asia Pacific,Singapore,81,5.57
47.236.167.231,8443,8443,true,SIN,Asia Pacific,Singapore,54,5.57
47.236.165.25,2083,2083,true,SIN,Asia Pacific,Singapore,75,5.56
47.237.92.26,2083,2083,true,SIN,Asia Pacific,Singapore,33,5.56
8.219.0.162,8443,8443,true,SIN,Asia Pacific,Singapore,35,5.56
47.236.80.110,2083,2083,true,SIN,Asia Pacific,Singapore,62,5.56
47.236.10.100,2096,2096,true,SIN,Asia Pacific,Singapore,31,5.55
47.238.131.39,2087,2087,true,HKG,Asia Pacific,Hong Kong,64,5.55
8.210.55.134,2087,2087,true,HKG,Asia Pacific,Hong Kong,49,5.55
8.219.193.202,443,443,true,SIN,Asia Pacific,Singapore,98,5.55
8.222.215.228,2096,2096,true,SIN,Asia Pacific,Singapore,39,5.55
47.236.10.100,2087,2087,true,SIN,Asia Pacific,Singapore,39,5.54
47.237.95.13,2083,2083,true,SIN,Asia Pacific,Singapore,42,5.54
8.217.49.34,2087,2087,true,HKG,Asia Pacific,Hong Kong,61,5.53
8.222.237.131,2053,2053,true,SIN,Asia Pacific,Singapore,32,5.53
8.218.18.132,2053,2053,true,HKG,Asia Pacific,Hong Kong,37,5.53
8.218.155.238,2087,2087,true,HKG,Asia Pacific,Hong Kong,47,5.53
8.219.201.245,2083,2083,true,SIN,Asia Pacific,Singapore,40,5.53
47.76.77.103,8443,8443,true,HKG,Asia Pacific,Hong Kong,119,5.52
47.242.157.96,2087,2087,true,HKG,Asia Pacific,Hong Kong,77,5.52
47.245.96.80,2053,2053,true,SIN,Asia Pacific,Singapore,45,5.52
8.219.153.237,8443,8443,true,NRT,Asia Pacific,Tokyo,125,5.51
47.236.170.225,2096,2096,true,SIN,Asia Pacific,Singapore,46,5.51
47.237.86.185,2087,2087,true,SIN,Asia Pacific,Singapore,95,5.50
47.76.213.245,2053,2053,true,HKG,Asia Pacific,Hong Kong,61,5.50
8.218.2.181,2083,2083,true,HKG,Asia Pacific,Hong Kong,83,5.49
47.236.254.120,2087,2087,true,SIN,Asia Pacific,Singapore,44,5.49
8.219.66.156,8443,8443,true,NRT,Asia Pacific,Tokyo,130,5.49
8.219.40.37,2053,2053,true,SIN,Asia Pacific,Singapore,36,5.48
47.236.121.23,2053,2053,true,SIN,Asia Pacific,Singapore,55,5.48
8.218.85.128,2087,2087,true,HKG,Asia Pacific,Hong Kong,85,5.47
47.76.189.102,2053,2053,true,HKG,Asia Pacific,Hong Kong,41,5.47
8.222.222.64,2083,2083,true,SIN,Asia Pacific,Singapore,53,5.47
8.222.244.192,2083,2083,true,SIN,Asia Pacific,Singapore,16,5.47
47.76.146.1,2053,2053,true,HKG,Asia Pacific,Hong Kong,591,5.47
8.222.222.64,2053,2053,true,SIN,Asia Pacific,Singapore,48,5.46
8.217.250.222,8443,8443,true,HKG,Asia Pacific,Hong Kong,53,5.46
47.236.80.110,2053,2053,true,SIN,Asia Pacific,Singapore,37,5.44
8.222.174.108,2087,2087,true,SIN,Asia Pacific,Singapore,95,5.44
8.219.86.200,2096,2096,true,SIN,Asia Pacific,Singapore,93,5.43
8.219.174.142,8443,8443,true,SIN,Asia Pacific,Singapore,49,5.43
47.236.117.48,2087,2087,true,SIN,Asia Pacific,Singapore,98,5.43
47.236.167.231,2087,2087,true,SIN,Asia Pacific,Singapore,41,5.42
47.76.227.128,2096,2096,true,HKG,Asia Pacific,Hong Kong,37,5.42
47.76.222.57,8443,8443,true,HKG,Asia Pacific,Hong Kong,50,5.40
8.210.39.96,2096,2096,true,HKG,Asia Pacific,Hong Kong,36,5.39
8.210.164.75,2053,2053,true,HKG,Asia Pacific,Hong Kong,71,5.39
8.210.65.1,2083,2083,true,HKG,Asia Pacific,Hong Kong,342,5.39
8.222.215.228,2053,2053,true,SIN,Asia Pacific,Singapore,78,5.39
47.76.94.15,2096,2096,true,HKG,Asia Pacific,Hong Kong,555,5.38
8.219.210.57,2053,2053,true,SIN,Asia Pacific,Singapore,78,5.38
8.219.103.65,2053,2053,true,SIN,Asia Pacific,Singapore,530,5.38
47.236.17.193,8443,8443,true,SIN,Asia Pacific,Singapore,28,5.38
8.218.122.55,8443,8443,true,HKG,Asia Pacific,Hong Kong,38,5.37
8.218.3.12,2096,2096,true,HKG,Asia Pacific,Hong Kong,42,5.36
47.236.83.239,2053,2053,true,SIN,Asia Pacific,Singapore,39,5.36
