IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.245.84.124,2087,2087,true,SIN,Asia Pacific,Singapore,66,4.67
47.245.86.230,2096,2096,true,SIN,Asia Pacific,Singapore,33,4.66
47.242.252.237,2096,2096,true,HKG,Asia Pacific,Hong Kong,90,4.66
47.76.227.128,2083,2083,true,HKG,Asia Pacific,Hong Kong,38,4.66
47.236.10.100,2083,2083,true,SIN,Asia Pacific,Singapore,56,4.64
47.236.5.223,2087,2087,true,SIN,Asia Pacific,Singapore,89,4.64
8.218.53.110,2096,2096,true,HKG,Asia Pacific,Hong Kong,69,4.64
8.210.164.75,2096,2096,true,HKG,Asia Pacific,Hong Kong,101,4.64
8.222.164.209,2083,2083,true,SIN,Asia Pacific,Singapore,71,4.64
47.237.8.82,8443,8443,true,SIN,Asia Pacific,Singapore,40,4.63
47.76.233.67,2083,2083,true,HKG,Asia Pacific,Hong Kong,252,4.63
8.222.193.65,2083,2083,true,SIN,Asia Pacific,Singapore,83,4.62
8.210.244.38,2096,2096,true,HKG,Asia Pacific,Hong Kong,43,4.61
47.242.171.94,8443,8443,true,HKG,Asia Pacific,Hong Kong,554,4.61
47.243.51.171,8443,8443,true,HKG,Asia Pacific,Hong Kong,63,4.61
8.218.178.79,2096,2096,true,HKG,Asia Pacific,Hong Kong,69,4.60
47.242.176.237,8443,8443,true,HKG,Asia Pacific,Hong Kong,47,4.60
47.236.102.102,2087,2087,true,SIN,Asia Pacific,Singapore,58,4.60
47.238.0.114,2087,2087,true,HKG,Asia Pacific,Hong Kong,66,4.59
8.218.188.129,2053,2053,true,HKG,Asia Pacific,Hong Kong,443,4.59
8.222.136.247,2087,2087,true,SIN,Asia Pacific,Singapore,87,4.59
8.222.179.231,2083,2083,true,SIN,Asia Pacific,Singapore,50,4.58
8.219.201.8,8443,8443,true,SIN,Asia Pacific,Singapore,91,4.58
8.222.165.117,2096,2096,true,SIN,Asia Pacific,Singapore,101,4.58
47.236.202.91,2087,2087,true,SIN,Asia Pacific,Singapore,55,4.57
47.242.59.216,2083,2083,true,HKG,Asia Pacific,Hong Kong,741,4.56
8.210.107.246,2083,2083,true,HKG,Asia Pacific,Hong Kong,477,4.56
47.236.87.246,2053,2053,true,SIN,Asia Pacific,Singapore,74,4.55
8.217.147.230,2096,2096,true,HKG,Asia Pacific,Hong Kong,47,4.55
8.210.119.11,2053,2053,true,HKG,Asia Pacific,Hong Kong,593,4.55
47.236.118.216,2053,2053,true,SIN,Asia Pacific,Singapore,53,4.53
47.237.95.140,2083,2083,true,SIN,Asia Pacific,Singapore,27,4.53
47.76.98.98,2087,2087,true,HKG,Asia Pacific,Hong Kong,262,4.53
8.217.193.25,2087,2087,true,HKG,Asia Pacific,Hong Kong,131,4.53
8.222.184.198,2096,2096,true,SIN,Asia Pacific,Singapore,59,4.52
