IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
204.110.220.176,80,443,true,PDX,North America,Portland,202,7.85
204.110.220.251,80,443,true,PDX,North America,Portland,227,7.85
3.68.62.122,443,443,true,FRA,Europe,Frankfurt,167,7.84
204.110.221.19,80,443,true,PDX,North America,Portland,203,7.84
18.237.111.16,443,443,true,SEA,North America,Seattle,200,7.84
204.110.221.202,80,443,true,PDX,North America,Portland,203,7.84
204.110.220.62,80,443,true,PDX,North America,Portland,192,7.83
3.133.115.5,443,443,true,CMH,North America,Columbus,224,7.81
18.216.213.141,443,443,true,ORD,North America,Chicago,224,7.81
34.218.130.79,443,443,true,SEA,North America,Seattle,202,7.81
18.227.13.182,443,443,true,ORD,North America,Chicago,224,7.80
204.110.221.46,80,443,true,PDX,North America,Portland,195,7.80
204.110.221.105,80,443,true,PDX,North America,Portland,194,7.80
3.137.158.189,2053,443,true,CMH,North America,Columbus,224,7.80
204.110.221.229,80,443,true,PDX,North America,Portland,206,7.80
204.110.221.157,80,443,true,PDX,North America,Portland,224,7.80
3.146.107.180,443,443,true,ORD,North America,Chicago,225,7.80
204.110.220.22,80,443,true,PDX,North America,Portland,201,7.79
18.216.55.100,443,443,true,CMH,North America,Columbus,216,7.78
204.110.220.172,80,443,true,PDX,North America,Portland,203,7.78
204.110.220.237,80,443,true,PDX,North America,Portland,202,7.78
204.110.221.37,80,443,true,PDX,North America,Portland,229,7.77
35.89.255.71,443,443,true,SEA,North America,Seattle,220,7.77
204.110.220.75,80,443,true,PDX,North America,Portland,202,7.76
34.223.67.110,443,443,true,SEA,North America,Seattle,195,7.76
204.110.220.18,80,443,true,PDX,North America,Portland,220,7.76
52.58.151.246,443,443,true,FRA,Europe,Frankfurt,194,7.75
204.110.221.77,80,443,true,PDX,North America,Portland,201,7.75
204.110.221.205,80,443,true,PDX,North America,Portland,193,7.74
34.211.135.38,443,443,true,SEA,North America,Seattle,194,7.74
204.110.220.8,80,443,true,PDX,North America,Portland,209,7.73
204.110.220.249,80,443,true,PDX,North America,Portland,199,7.73
35.91.18.255,443,443,true,SEA,North America,Seattle,207,7.73
18.116.37.94,443,443,true,ORD,North America,Chicago,224,7.73
204.110.221.123,80,443,true,PDX,North America,Portland,207,7.73
35.89.131.217,443,443,true,SEA,North America,Seattle,201,7.72
204.110.221.147,80,443,true,PDX,North America,Portland,201,7.72
3.149.245.221,443,443,true,ORD,North America,Chicago,225,7.72
35.89.135.84,443,443,true,SEA,North America,Seattle,218,7.71
204.110.220.137,80,443,true,PDX,North America,Portland,200,7.71
204.110.220.82,80,443,true,PDX,North America,Portland,206,7.71
204.110.220.76,80,443,true,PDX,North America,Portland,202,7.70
204.110.220.93,80,443,true,PDX,North America,Portland,205,7.70
3.145.122.30,443,443,true,ORD,North America,Chicago,223,7.70
18.221.218.2,443,443,true,ORD,North America,Chicago,216,7.70
3.137.219.92,443,443,true,ORD,North America,Chicago,224,7.70
204.110.220.163,80,443,true,PDX,North America,Portland,200,7.70
3.140.251.48,443,443,true,ORD,North America,Chicago,223,7.69
204.110.221.177,80,443,true,PDX,North America,Portland,202,7.69
3.22.194.196,443,443,true,ORD,North America,Chicago,267,7.68
18.236.13.188,80,443,true,PDX,North America,Portland,204,7.68
204.110.220.28,80,443,true,PDX,North America,Portland,201,7.68
52.14.209.221,443,443,true,ORD,North America,Chicago,226,7.68
3.144.251.103,443,443,true,ORD,North America,Chicago,216,7.67
18.117.137.230,443,443,true,ORD,North America,Chicago,223,7.67
204.110.220.9,80,443,true,PDX,North America,Portland,202,7.67
3.133.142.31,443,443,true,ORD,North America,Chicago,217,7.67
3.20.226.70,443,443,true,ORD,North America,Chicago,223,7.66
3.18.225.231,443,443,true,CMH,North America,Columbus,223,7.66
18.199.171.212,443,443,true,FRA,Europe,Frankfurt,185,7.66
204.110.221.6,80,443,true,PDX,North America,Portland,201,7.65
204.110.221.110,80,443,true,PDX,North America,Portland,200,7.65
18.222.186.18,443,443,true,ORD,North America,Chicago,223,7.65
52.15.57.46,443,443,true,ORD,North America,Chicago,223,7.64
204.110.221.32,80,443,true,PDX,North America,Portland,203,7.64
204.110.220.48,80,443,true,PDX,North America,Portland,201,7.64
18.116.210.253,80,443,true,CMH,North America,Columbus,224,7.64
204.110.220.245,80,443,true,PDX,North America,Portland,203,7.63
204.110.220.184,80,443,true,PDX,North America,Portland,202,7.63
204.110.220.133,80,443,true,PDX,North America,Portland,207,7.63
